Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 1,-6489.415,16.166746,2230.8503,-6669.285,-26.630154,1702.2234,560.02795
Satellite 2,5572.41,2897.9644,2950.733,5162.397,2398.1377,2625.216,723.8085
Satellite 3,-411.56403,4642.6,-5549.9297,-414.12186,4432.5576,-5771.793,305.52856
Satellite 4,-1878.4849,3809.9033,-5348.1245,-1932.5618,3782.5789,-5528.857,190.61781
Satellite 5,3412.9636,2840.5222,5175.1455,3423.838,2091.1968,4506.5327,1004.3157
Satellite 6,-6744.247,-1359.8556,-231.3711,-6988.1187,-1394.8065,-761.4503,584.533
Satellite 7,-2042.698,3712.2944,-5472.453,-2065.23,3580.4338,-5738.9146,298.15533
Satellite 8,-704.83514,4094.1257,-5538.2554,-704.2642,3918.677,-5757.622,280.89917
Satellite 9,4686.992,2944.1199,-3977.092,4534.028,2763.3071,-4058.6738,250.49338
Satellite 10,-31786.953,-27664.586,1294.3981,-31883.29,-27307.562,1469.2477,409.04614
Satellite 11,10278.78,-16163.444,-16857.36,10342.53,-16628.953,-17236.426,603.70013
Satellite 12,81.46202,3094.903,6905.0894,27.293182,2843.006,6274.6646,681.0446
Satellite 13,3499.0503,-2258.23,5432.6494,3202.0579,-2902.743,4842.0674,923.2489
Satellite 14,-4811.8037,-3668.8657,3140.5142,-5054.4805,-3760.6338,2598.2737,601.1141
Satellite 15,1177.1469,-5114.8843,-4420.618,648.7431,-5397.5693,-4883.1064,756.9787
Satellite 16,6198.364,-1815.6483,-1912.2205,5780.1323,-2439.1956,-2551.2568,985.9494
Satellite 17,129.45193,-5482.712,5526.8716,-67.62783,-5878.795,4911.0044,758.2972
Satellite 18,421.75333,-938.1824,7414.504,235.57689,-1135.8541,6909.3296,573.5302
Satellite 19,-2863.117,4304.6255,-4524.682,-2933.6665,4289.3555,-4718.2793,206.61626
Satellite 20,4865.6562,-1127.1462,-4652.287,4511.5713,-1760.7339,-5047.437,826.40967
Satellite 21,-6021.27,2809.8308,1909.62,-6308.126,2486.4285,1257.4688,782.41724
Satellite 22,2159.5745,4516.0234,4462.2734,2176.8774,3783.278,3932.859,904.15424
Satellite 23,-825.74493,-6650.9985,1712.0746,-1014.5552,-6798.676,1448.8505,356.0124
Satellite 24,-3737.5374,3875.044,-3558.3748,-3868.8503,3909.7917,-3714.6147,207.03006
Satellite 25,2137.6836,2479.6816,6030.6865,1772.112,1872.973,5546.7075,857.88904
Satellite 26,4735.8774,-1652.351,4764.725,4390.3296,-2284.439,4247.9897,886.54047
Satellite 27,2400.9622,-5169.2637,-3959.3943,1894.8813,-5512.2505,-4478.9766,802.3238
Satellite 28,-4585.0913,5054.5674,65.33579,-4715.3853,4839.918,-497.95276,616.72107
Satellite 29,-540.0621,-5908.5356,3456.647,-804.5646,-6074.51,3046.6035,515.4072
Satellite 30,2475.7427,5663.8315,-3112.736,2409.1074,5346.3477,-3240.9536,348.8209
Satellite 31,5824.667,1417.2189,-3459.562,5660.072,802.3597,-3724.38,689.39966
Satellite 32,-4927.651,-1611.5013,-4310.502,-5391.4717,-1590.9602,-4504.1763,503.0521
Satellite 33,-5682.993,-546.8705,-3975.0574,-5867.9546,-666.9072,-4485.0674,555.6345
Satellite 34,-3894.7373,-5034.677,2125.9404,-3798.0884,-5221.8193,1951.1685,273.69437
Satellite 35,5709.082,-219.43842,3775.1887,5545.7573,-992.9735,3009.5688,1100.5477
Satellite 36,6217.6943,1202.4791,-2309.7915,6032.3774,619.27606,-2542.5085,654.6949
Satellite 37,1916.6229,-6524.907,-551.131,1535.8132,-6901.1226,-1218.8135,855.7768
Satellite 38,6889.1553,-2834.6252,1413.4573,6661.5522,-3365.892,615.98865,984.8877
Satellite 39,-3706.1763,-2060.6492,-5470.538,-4185.255,-2007.5834,-5740.516,552.4676
Satellite 40,-755.23016,-5079.1772,-4360.904,-1282.8964,-5326.947,-4702.7427,675.77747
Satellite 41,-1095.4082,-4805.7812,5424.032,-1013.44507,-4858.38,5124.472,314.99332
Satellite 42,5580.272,-3322.6704,-2810.861,5238.3877,-3615.214,-3463.9011,793.0498
Satellite 43,25484.246,-2129.5908,-7197.404,24976.918,-2746.667,-7329.5596,809.7098
Satellite 44,20301.33,36946.54,-42.569912,19483.225,35912.26,-38.463913,1318.7278
Satellite 45,-2657.4568,-1472.1464,-6259.2686,-3213.2212,-1509.9113,-6486.8813,601.75397
Satellite 46,-4234.9517,1389.7805,-5296.1895,-4526.407,1516.0968,-5484.936,369.4962
Satellite 47,4755.335,475.36145,-5007.999,4607.7734,-114.622444,-5264.8706,660.1806
Satellite 48,-4719.18,-169.10947,5309.022,-4943.3335,-557.2556,4677.5864,774.3468
Satellite 49,6651.679,-1642.9352,-1087.9395,6261.1562,-2296.279,-1761.2461,1016.22253
Satellite 50,3664.8818,3625.9834,-4466.085,3517.6404,3039.415,-4831.3496,706.5131
Satellite 51,-1519.8229,5951.0444,-2777.7385,-1612.8518,5831.6133,-2880.1921,182.7975
Satellite 52,-5900.1196,348.6085,3587.2056,-5790.132,262.18298,3353.9333,271.99744
Satellite 53,4298.044,3207.8516,-4405.029,4097.7417,2592.2524,-4797.7847,757.19244
Satellite 54,-3771.9675,-4329.421,-3863.1208,-4127.288,-4353.964,-4363.7056,614.3616
Satellite 55,-2471.0806,-4505.1094,4513.8184,-2649.8926,-4559.4976,4112.951,442.29663
Satellite 56,-5906.7344,214.84875,3619.7852,-6033.2915,183.44849,3117.8887,518.55835
Satellite 57,3432.9678,-4349.7935,-3985.544,3039.1084,-4891.8667,-4333.789,755.1446
Satellite 58,1267.272,5530.0234,5333.314,1304.8645,4985.8555,4692.323,841.66565
Satellite 59,24722.725,57958.23,-0.57957083,23832.531,56569.76,489.63205,1720.6387
Satellite 60,-1213.4354,-4044.2673,5471.7695,-1418.0686,-4179.8037,5020.953,513.3033
Satellite 61,-5325.616,1507.1498,-4218.082,-5471.807,1333.3602,-4702.9136,535.38416
Satellite 62,3396.948,4660.3535,-3826.4453,3166.6267,4087.5015,-4298.3726,777.12463
Satellite 63,5422.9844,41820.32,10.001075,5397.69,41288.246,38.189724,533.4205
Satellite 64,3891.8325,2000.2778,5215.6035,3863.0452,1205.1139,4536.7617,1045.9161
Satellite 65,2826.852,3546.436,5128.334,2866.698,2856.7039,4471.0522,953.59186
Satellite 66,-3966.74,-1611.8673,5344.0903,-4093.4973,-1652.6261,4869.554,492.8623
Satellite 67,2436.7058,-6072.663,3167.8623,2174.486,-6579.9316,2468.9146,902.55664
Satellite 68,-1398.0912,-1636.1322,6463.375,-1454.8768,-2291.4817,5836.3794,908.7525
Satellite 69,93.91473,-3496.185,-6015.277,-381.51193,-3552.2214,-6430.7065,633.8394
Satellite 70,-5618.0234,-1266.328,3716.2341,-5586.622,-1253.2708,3438.9119,279.3997
Satellite 71,-1666.2377,5779.913,-3310.9836,-1719.8961,5671.574,-3451.2979,185.21506
Satellite 72,-5067.9707,-2652.8547,-3725.3975,-5449.401,-2585.6333,-4095.5686,535.7559
Satellite 73,-7907.4873,41421.785,-5.5359683,-7521.644,41263.344,-41.02935,418.61493
Satellite 74,496.84232,-6827.227,353.14365,247.94228,-7079.464,84.60921,444.61823
Satellite 75,-2450.1187,-5656.379,-3148.8933,-2866.36,-5888.336,-3388.2627,533.2529
Satellite 76,6513.627,-865.73315,-1289.5786,6122.7036,-1491.3677,-1976.2012,1007.8145
Satellite 77,-2598.0667,5394.922,-3266.2832,-2675.6123,5337.9624,-3405.181,168.96829
Satellite 78,1495.8932,6467.344,1730.7123,1460.2354,5883.7993,1396.0295,673.65326
Satellite 79,6342.8755,2669.9316,-924.32214,6058.3267,2308.89,-1096.1272,490.7506
Satellite 80,-1251.7753,5246.4307,-4068.5635,-1275.0048,4955.3364,-4421.735,458.26358
