Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 1,-568.296,-6417.612,2559.5813,-393.06876,-8295.878,2453.7434,1889.3887
Satellite 2,-2844.2615,-4698.7847,-4212.672,-2949.5286,-7809.0454,-3617.8027,3168.3862
Satellite 3,639.4705,4879.359,-4483.4097,742.0918,209.77367,-3984.9033,4697.24
Satellite 4,4781.503,4352.815,2197.7515,5097.59,1032.2649,2716.179,3375.6082
Satellite 5,19768.06,-37248.062,13.132382,19355.752,-34933.84,-228.20808,2363.0215
Satellite 6,3476.2253,3852.6543,-4591.1494,3807.436,-514.2555,-3775.7258,4454.7183
Satellite 7,-1963.8253,5336.282,3990.7573,-1434.1351,2084.1555,3896.8208,3296.3198
Satellite 8,-4988.672,4593.283,1358.8066,-4375.61,1013.6213,1409.9342,3632.1396
Satellite 9,-1204.0604,-2046.9423,-7191.9297,-1359.1654,-6140.849,-6412.468,4170.3345
Satellite 10,-2767.4397,-4293.929,4682.588,-2460.9727,-6017.1597,4623.2407,1751.2759
Satellite 11,-1807.8617,-4200.0005,5181.836,-1529.2717,-5969.6978,5006.688,1800.0326
Satellite 12,-5665.4004,-52.287647,-3977.204,-5561.243,-3696.0364,-3333.36,3701.6604
Satellite 13,-16416.1,-5747.0396,21829.281,-15000.946,-5288.6865,20394.723,2066.5684
Satellite 14,596.5595,-4695.8315,-5107.2197,494.325,-7804.994,-4717.6284,3135.1436
Satellite 15,5956.7334,-853.3473,3269.952,6423.507,-3408.3765,3239.1191,2597.4993
Satellite 16,3760.7312,-1908.0367,5484.4927,4112.4087,-4020.32,5464.191,2141.455
Satellite 17,1549.6099,3855.0083,-5535.695,1881.5544,-744.49445,-4802.884,4669.3286
Satellite 18,2730.9702,4276.3633,4610.1577,3530.4504,1190.2065,4678.5664,3188.7634
Satellite 19,-5244.9155,2857.036,-3456.2407,-5117.3267,-1251.8763,-2709.9055,4178.092
Satellite 20,6058.8286,-2721.4817,1987.8164,6344.9297,-5211.606,2018.172,2506.69
Satellite 21,-5373.2646,-2632.896,-3469.502,-5339.0234,-5877.7534,-2880.0234,3298.1445
Satellite 22,-6092.9805,-3142.1853,965.5383,-5770.7134,-5698.531,910.25854,2577.1716
Satellite 23,-5065.2534,1733.4282,4374.6914,-4279.3315,-937.4173,4507.598,2787.2483
Satellite 24,-2380.2822,-4848.4414,-4334.8467,-2398.473,-7836.9663,-3997.015,3007.614
Satellite 25,3987.4468,-3770.6638,4039.207,4183.287,-5752.6606,4146.9067,1994.5587
Satellite 26,-2414.5356,-5784.6367,2790.7488,-2177.523,-7573.3574,2950.3625,1811.4009
Satellite 27,4205.1514,4826.356,-2457.4282,4585.4873,676.71985,-1684.1067,4238.179
Satellite 28,2855.1682,6278.653,-594.2377,3373.7273,2107.6245,-285.7678,4214.444
Satellite 29,-3590.359,-5851.5938,862.8269,-3375.194,-7965.113,1195.7258,2150.3674
Satellite 30,2292.9187,-1968.0159,6561.1978,2742.0896,-3581.2131,6517.799,1675.1249
Satellite 31,6978.9487,-2940.4082,-406.28754,7168.5996,-5597.794,-309.5251,2665.9014
Satellite 32,6309.48,-2788.6072,1900.609,6530.051,-5055.1597,2332.509,2317.8545
Satellite 33,35176.758,-23241.76,222.4375,34481.64,-22539.287,312.481,992.35254
Satellite 34,-4742.854,-1416.762,5233.1353,-4284.776,-3751.3909,4982.1123,2392.3503
Satellite 35,-3319.6924,6038.273,-810.55164,-2747.9587,1962.8823,-208.98941,4159.034
Satellite 36,-2145.4888,-1548.6943,-6339.107,-2229.8872,-5609.5586,-5590.8486,4130.0884
Satellite 37,4804.4106,4288.035,2341.3643,5281.8423,876.7399,2797.3586,3474.5945
Satellite 38,-799.0523,-2751.1033,-6339.596,-1028.392,-6504.7344,-5639.3096,3825.277
Satellite 39,2985.8052,5744.0327,-2395.4639,3403.5872,1480.4938,-1621.5055,4353.3115
Satellite 40,-4519.3936,1664.9409,-5860.4214,-4575.39,-2586.3486,-5048.102,4328.5635
Satellite 41,5415.8364,2956.0796,3632.0366,5721.5737,75.698586,4007.836,2920.8381
Satellite 42,-1151.1101,-5349.5713,4220.6484,-866.1889,-6958.099,4296.1084,1635.3092
Satellite 43,5361.8433,-3225.4326,2884.7698,5626.669,-5235.994,3224.51,2056.1892
Satellite 44,-6355.5024,2219.337,260.36407,-5843.049,-1198.6676,324.18686,3456.7957
Satellite 45,-5770.4224,2248.0752,-4378.1074,-5685.806,-1892.7252,-3611.6375,4211.9907
Satellite 46,2659.1965,5619.8633,-3038.3777,3062.412,1282.3533,-2241.5159,4428.494
Satellite 47,-5809.2007,-3454.243,-1563.1487,-5577.2554,-6283.8276,-1432.0558,2842.1
Satellite 48,-1796.006,564.7194,6761.2036,-965.4063,-1814.7233,6681.91,2521.4937
Satellite 49,1255.9869,-11539.808,22727.65,2107.4292,-9755.816,21192.096,2503.0994
Satellite 50,-6135.003,-188.02466,-3199.269,-5980.626,-3713.8877,-2583.7922,3582.5066
Satellite 51,-5264.8203,-2222.5615,-4835.9937,-5288.8413,-5706.281,-4217.267,3538.3188
Satellite 52,3623.9622,2014.387,-5541.2524,3797.6494,-2377.9492,-4812.0757,4455.8364
Satellite 53,-1301.3586,6777.758,475.78717,-689.11884,2751.6272,1058.048,4113.8296
Satellite 54,5151.987,753.7174,-4281.1963,5315.3706,-3232.4968,-3574.5571,4051.6587
Satellite 55,-4202.3335,-2432.3489,4861.32,-3755.6255,-4687.6157,4613.871,2312.3596
Satellite 56,-2227.445,-2496.3672,-5478.178,-2245.5122,-6288.9297,-4757.0894,3860.547
Satellite 57,674.8881,-4830.9844,-5243.595,714.8304,-8183.395,-4519.083,3430.0393
Satellite 58,6460.8623,621.08167,2198.1738,6905.231,-2277.9548,2242.6667,2933.233
Satellite 59,1999.6471,-6056.204,-2734.562,1913.3933,-8708.631,-2488.378,2665.223
Satellite 60,6351.5938,1553.3024,2017.7896,6699.534,-1511.1549,2436.4397,3112.4314
Satellite 61,-4040.0955,-3992.172,-3785.5562,-4095.3784,-7077.561,-3246.6968,3132.5789
Satellite 62,-6742.8433,1521.0732,561.93726,-6240.9727,-1723.5901,625.85944,3283.8696
Satellite 63,1391.2135,4342.4663,5193.769,2256.7703,1403.5842,5167.561,3063.8054
Satellite 64,-5745.7275,-4096.3735,288.0987,-5348.8687,-6752.4663,216.72066,2686.526
Satellite 65,-641.8706,626.6254,6803.8667,-201.13791,-1705.9941,6668.3374,2377.7568
Satellite 66,-5370.765,-893.2428,-4116.638,-5146.027,-4408.609,-3703.3462,3546.705
Satellite 67,3719.3928,2023.9172,5459.207,4357.1743,-684.112,5507.711,2782.542
Satellite 68,3108.7937,-4349.4946,-4285.8193,2932.8657,-7530.5625,-3831.369,3218.178
Satellite 69,96.73808,-4327.7065,-5284.1733,-109.67147,-7585.401,-4782.006,3302.6277
Satellite 70,1000.0933,1556.2313,6686.7583,1401.5505,-846.8001,6646.9736,2436.66
Satellite 71,6000.507,-2137.95,-2750.3315,5986.403,-5421.048,-2394.2913,3302.3774
Satellite 72,4142.6006,-3474.3774,-5288.008,4006.798,-6768.6777,-4857.9663,3325.0251
Satellite 73,-2255.3787,4735.9443,-4546.024,-1843.9912,315.67798,-3843.1711,4494.663
Satellite 74,4956.9243,3590.956,3255.0088,5480.3384,380.99646,3580.6558,3268.6157
Satellite 75,-5151.6143,-3120.9639,-3274.2053,-4947.3955,-6233.1724,-3030.6318,3128.3982
Satellite 76,-841.3278,-6651.7476,314.38504,-742.6315,-8795.004,309.4734,2145.5332
Satellite 77,-1544.452,-6694.5166,-1087.8546,-1378.596,-9029.879,-1075.0477,2341.2793
Satellite 78,2914.997,-5903.3726,2176.382,3028.8528,-7808.2188,2428.7427,1924.8605
Satellite 79,3516.5815,5949.42,-485.44913,3983.03,1920.8829,191.80777,4111.6133
Satellite 80,-3895.3093,4460.88,3556.37,-3069.2112,1242.2386,3783.327,3330.7053
Satellite 81,-564.1373,-6493.328,-2073.3025,-324.2033,-8973.717,-1997.7424,2493.1118
Satellite 82,-5632.398,4051.0928,-355.23953,-5184.4897,126.293304,-257.63464,3951.481
Satellite 83,6151.0317,-64.11922,3009.9736,6631.3975,-2757.782,3003.6526,2736.1672
Satellite 84,-4381.7573,-5121.4683,1243.6635,-4108.7153,-7273.793,1555.9778,2191.9382
Satellite 85,-4130.6377,-785.05054,-5498.8975,-4027.537,-4490.049,-4933.659,3749.2847
