Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 1,-160.7069,975.5578,6940.9004,-1034.1333,501.30334,6779.7456,1006.8574
Satellite 2,-2675.2024,-5050.2974,-3731.9443,-2657.4587,-3630.9138,-3826.9192,1422.6682
Satellite 3,6092.6743,-3279.0771,-610.8652,5746.9756,-3001.0447,-1096.0013,657.3939
Satellite 4,6611.4785,344.19656,2068.8894,6150.039,-527.37604,1650.161,1071.4004
Satellite 5,-4633.311,-4263.7036,-2049.5144,-4590.2153,-3021.5938,-1723.548,1284.8923
Satellite 6,5892.703,386.7818,3452.2852,5441.142,-549.16925,3102.533,1096.4663
Satellite 7,-1372.6885,3966.9185,5496.7524,-1539.5841,3213.89,5271.7964,803.4372
Satellite 8,-3233.997,4022.6438,4597.7256,-3502.145,3715.9932,4144.8784,609.1047
Satellite 9,-5448.793,4201.2305,-926.5364,-5219.3647,4071.5872,-1403.506,544.92633
Satellite 10,5298.818,-4154.1094,-1599.8397,4931.759,-3953.1829,-1324.4366,500.9498
Satellite 11,-4290.5386,-2178.312,4872.923,-4432.5996,-1205.5785,4888.1533,983.1702
Satellite 12,-5293.622,2244.348,-4296.287,-5043.3975,2559.8203,-4176.0312,420.23407
Satellite 13,5139.5435,4222.5005,1958.6022,4723.3994,2878.9263,1436.5454,1500.3036
Satellite 14,5514.75,-1391.0083,3932.011,4743.698,-1931.1934,4052.3281,949.1032
Satellite 15,746.43567,6702.4785,1472.2059,460.8894,5478.8955,879.3777,1389.2938
Satellite 16,3580.654,-5075.005,-3051.4138,3178.2373,-4289.1,-3308.989,919.7448
Satellite 17,1195.1595,-6414.1553,2091.9438,833.16254,-5422.74,1775.6605,1101.808
Satellite 18,-2001.2437,6464.727,-1587.3018,-2204.349,5617.246,-1491.6554,876.7121
Satellite 19,1072.8782,4146.242,-5358.0615,761.63293,3387.621,-5735.7505,902.7893
Satellite 20,-443.27908,6774.6577,-1335.443,-577.6584,5698.6597,-1948.8,1245.8075
Satellite 21,1586941.1,183509.86,-30161.49,-11202.824,-37299.453,11920.145,1613874.8
Satellite 22,-5143.868,-4680.062,27.98357,-4960.6255,-3307.5422,-366.83228,1439.8848
Satellite 23,5844.1836,-3509.0745,247.71925,5314.487,-3536.7312,461.03897,571.70703
Satellite 24,-262.4353,5813.2383,3765.4363,-530.5742,4548.264,3637.4712,1299.3972
Satellite 25,-5087.247,-55.70389,-4722.123,-4721.292,706.4801,-4737.8984,845.6338
Satellite 26,-3246.614,-2787.9465,5504.651,-3554.4998,-2258.914,5149.2744,707.78625
Satellite 27,-3981.4092,-3220.3293,-4656.4077,-3692.6804,-1985.5762,-4763.1323,1272.5446
Satellite 28,-770.5952,4548.922,5178.4536,-1390.7444,3357.0874,5186.6616,1343.5482
Satellite 29,2096.4436,-4661.703,-4696.331,1758.242,-3957.972,-4601.5166,786.5162
Satellite 30,1991.5028,937.3738,-6500.425,2138.8748,1088.7048,-6419.2407,226.29723
Satellite 31,-6267.427,2858.6047,625.42694,-6141.3667,3033.4321,105.751076,562.6
Satellite 32,-1317.5197,6363.2983,-2080.8977,-1276.8966,5443.724,-2598.2021,1055.8745
Satellite 33,-457.35287,-4584.399,-5079.2197,-621.4317,-3427.5583,-5113.774,1168.9294
Satellite 34,4993.3633,1843.412,-4423.192,4899.4077,1148.0603,-4370.6685,703.63367
Satellite 35,-4143.36,-4490.101,-3061.905,-3800.2234,-3124.768,-3349.2148,1436.8103
Satellite 36,6440.876,-1827.5386,748.8492,5875.9976,-2221.4844,967.7471,722.63214
Satellite 37,-5234.8213,-3575.7632,-2845.211,-4673.2573,-2474.7527,-3176.741,1279.6447
Satellite 38,-5837.527,2286.7869,-2943.212,-5374.885,2518.662,-3320.2446,640.27924
Satellite 39,5792.4717,-3362.6526,727.4024,5247.2417,-3396.057,983.3815,603.2552
Satellite 40,-2301.2725,-5840.211,-4277.202,-2107.28,-4741.844,-3853.0837,1193.2808
Satellite 41,16.397167,-4311.5938,5285.5356,-143.35977,-3860.77,4963.779,576.4476
Satellite 42,5419.733,-4564.8213,-2639.8135,5095.832,-3916.9695,-3026.9585,821.28253
Satellite 43,4163.602,-2817.4026,-4684.4136,3792.6833,-2676.3452,-4683.7954,396.8353
Satellite 44,-6390.573,1076.8031,-2521.4683,-6223.101,1495.9463,-2250.9172,526.2374
Satellite 45,6144.6104,-1266.4934,2309.3188,5707.0103,-1791.6914,1879.7355,807.3838
Satellite 46,6445.543,-694.14996,-3078.45,6162.569,-1158.9034,-2934.5986,562.8173
Satellite 47,-5817.228,-3598.0544,-777.7136,-5703.722,-2193.9883,-893.9567,1413.4348
Satellite 48,-3680.683,-5331.9624,-2429.565,-3529.737,-3829.6665,-2674.5022,1529.5986
Satellite 49,4454.3374,-1459.4102,4654.244,3783.9001,-2012.9794,4568.133,873.6934
Satellite 50,-41.37511,4259.594,-5457.9746,227.17397,3746.1733,-5540.1567,585.2124
Satellite 51,616.66345,1873.1022,6547.446,-245.21667,1072.2006,6460.949,1179.7297
Satellite 52,38310.793,17630.025,85.610405,37628.824,10746.977,-596.01587,6950.256
Satellite 53,902.2421,-1735.0413,-6577.914,976.5223,-958.10394,-6628.5083,782.1182
Satellite 54,4882.681,593.2626,-4829.9043,4837.2993,402.09674,-4652.864,264.4754
Satellite 55,-5780.6455,3533.1672,-1496.8303,-5470.008,3556.6497,-1933.147,536.1151
Satellite 56,1846.4543,4101.8784,-5258.007,1918.2614,3261.2488,-5509.6426,880.41754
Satellite 57,-194.00722,4679.7764,5076.977,-457.4031,3524.9856,4940.746,1192.2576
Satellite 58,30174.2,-24769.928,16313.977,30187.633,-23730.14,16587.785,1075.318
Satellite 59,-2455.4836,3548.3396,-5422.094,-2121.278,3455.0427,-5453.4854,348.40073
Satellite 60,-5173.0356,1144.5339,-4372.1016,-4688.428,1647.5588,-4535.4985,717.3402
Satellite 61,-5456.5405,-1245.5629,4137.3022,-5255.4966,-702.9262,4318.2847,606.3232
Satellite 62,1007.79913,-6555.2925,1663.0278,977.2172,-5501.2397,1258.7653,1129.3319
Satellite 63,-2928.426,-4221.241,-4367.9766,-2793.4438,-2889.1553,-4486.591,1344.1512
Satellite 64,-3718.2312,-3443.3855,4698.604,-3925.371,-2289.2852,4766.9487,1174.532
Satellite 65,-4533.9263,4980.5127,1264.1073,-4547.396,4470.7485,1322.555,513.2807
Satellite 66,33910.133,-24888.557,-2595.7004,34092.867,-23149.18,-2088.8953,1820.8997
Satellite 67,-4061.3918,2784.702,-4922.8833,-3562.563,2859.8032,-5113.8228,539.3777
Satellite 68,-6670.2925,686.5324,-691.33246,-6478.2847,1244.5457,-481.10904,626.4501
Satellite 69,-1293.2241,-3776.0447,5679.4277,-1694.573,-2817.8264,5775.4004,1043.2996
Satellite 70,141300.06,-14080.326,-9680.701,117978.44,-17991.766,-5317.978,24046.432
Satellite 71,6010.3735,-2683.823,2119.901,5565.304,-2919.3494,1721.1434,642.31366
Satellite 72,-38830.098,16474.79,55.5692,-33403.504,14651.079,-81.40087,5726.482
Satellite 73,-38266.96,17385.36,3513.4944,-33314.152,15635.642,3070.1821,5271.466
Satellite 74,4250.7236,2612.555,4690.6436,3606.2996,1287.0575,4659.8633,1474.1687
Satellite 75,-207264.33,-233632.66,-248329.75,-66302.24,22234.566,37041.395,408381.0
Satellite 76,-964.30096,-1905.0968,-6874.644,-419.02072,-1198.8242,-6884.317,892.3256
Satellite 77,1776.1968,5613.566,3493.2556,1308.8069,4118.1226,3460.3018,1567.1279
Satellite 78,6489.2974,2082.6533,714.0856,5926.539,971.2915,833.03796,1251.388
Satellite 79,-5870.4395,-4241.1455,2262.0469,-5615.3545,-2999.4236,2575.6577,1305.8689
Satellite 80,-1385.8914,3014.6316,-6168.7954,-1252.5245,2486.9749,-6390.2856,587.5936
Satellite 81,5541.945,-4728.011,-1560.3596,5233.4517,-4129.6123,-1979.8838,793.25275
Satellite 82,23108.793,-35244.766,-118.86973,23368.705,-30768.818,469.81192,4521.969
Satellite 83,-655.27216,-6271.809,-2855.5234,-760.03156,-4850.2197,-3072.6687,1441.8887
Satellite 84,-5463.6416,3244.9817,2707.0015,-5396.2104,3120.1816,2758.725,150.9879
Satellite 85,6717.5356,1172.5172,1261.5879,6132.5503,130.65666,1347.8212,1197.9639
Satellite 86,-5934.278,2213.5872,-2836.2334,-5486.231,2512.7358,-3162.4902,629.82495
Satellite 87,-3203.0146,3438.8513,-4941.122,-2735.0212,3278.2412,-5175.981,547.6971
Satellite 88,-1935.4652,6239.8037,-2288.8867,-1989.8029,5486.1846,-2251.5786,756.49603
Satellite 89,3299.8525,-3195.4792,-5092.028,2878.5708,-2761.7432,-5184.8345,611.7339
Satellite 90,-6644.056,1640.856,360.53088,-6457.8633,2069.8066,-125.764,674.64746
Satellite 91,-4921.2437,-4250.272,2265.385,-4831.0645,-3161.8096,1826.7257,1176.9896
Satellite 92,3921.711,4794.7954,2943.1501,3036.0757,3431.2727,3042.709,1628.9432
Satellite 93,6162.1973,852.0636,-2596.2397,5880.496,149.79837,-2463.3577,768.23804
Satellite 94,-4121.9053,-5540.952,-579.24023,-4112.719,-4112.6245,-244.38405,1467.0831
Satellite 95,-2078.5002,1917.269,-6357.1294,-1852.1512,2184.75,-6289.5967,356.84814
Satellite 96,-146.94852,-6679.6294,1880.581,-138.47272,-5526.687,1485.105,1218.9132
Satellite 97,146.59256,-5165.987,-4603.0557,-42.557507,-3963.256,-4701.736,1221.5059
Satellite 98,3078.402,-1777.8798,5963.773,2676.2522,-2192.0625,5704.592,632.8086
Satellite 99,4641.397,2525.548,4477.2266,3964.064,1201.885,4471.2173,1486.9095
Satellite 100,-3108.9165,-4218.4907,-4528.665,-2943.7595,-2877.4495,-4633.736,1355.2522
Satellite 101,-28885.62,29638.984,8121.627,-26887.945,25115.488,7077.931,5053.911
Satellite 102,1586.2493,3876.1204,5501.7153,1267.9406,2644.2346,5291.024,1289.672
Satellite 103,599.80023,4695.2627,5044.8574,308.17508,3680.8171,4637.019,1131.5817
Satellite 104,5841.315,-2776.471,-3965.2966,5409.566,-2403.64,-4337.3677,681.0632
Satellite 105,33488.348,-24754.227,-6958.486,33369.438,-22523.08,-6307.2646,2327.2822
Satellite 106,6012.2456,2271.111,-2028.0511,5538.476,1390.5948,-2535.0415,1121.0735
Satellite 107,76.38689,2524.489,7132.193,-498.78967,2112.8582,6779.9253,790.16486
Satellite 108,-6507.526,-1307.6656,-1976.819,-6100.7646,-340.94562,-2317.1138,1102.6345
Satellite 109,4556.548,2261.546,-4722.5815,4399.6514,1467.9012,-4877.7544,823.7518
Satellite 110,-4204.818,5257.2983,-1611.3597,-4030.9397,4789.9478,-2147.2544,732.00635
Satellite 111,-5949.396,1638.4629,3117.6692,-5836.3345,1894.6705,3186.9253,288.48166
Satellite 112,-41.639576,5244.4536,4126.4355,-350.32596,4314.61,3620.2444,1102.7811
Satellite 113,-6359.745,-1190.4435,2445.0205,-6215.624,-311.8958,2607.8943,905.06616
Satellite 114,499.4073,6918.6577,-24.191292,247.06624,5638.937,-64.72432,1304.992
Satellite 115,-2719.1743,-4125.631,-4582.673,-2774.4414,-2910.5625,-4483.0757,1220.3955
Satellite 116,-3420.4,-2346.3481,-5539.857,-3311.0337,-1311.3743,-5455.4404,1044.1542
Satellite 117,-3650.0486,2524.0076,5296.6177,-3891.0635,2538.4412,4962.197,412.47284
Satellite 118,4640.9717,4287.052,-2659.285,4400.833,3216.8438,-2616.221,1097.664
Satellite 119,41749.594,-5953.268,45.419403,41912.305,-8904.606,102.85933,2956.3782
Satellite 120,75.28744,-892.99,7540.18,-571.79553,-659.01886,7438.084,695.61664
Satellite 121,-5204.55,-1769.8042,-4121.271,-4841.5737,-709.3269,-4227.0854,1125.8599
Satellite 122,-297.81705,-1860.3245,7076.5596,-739.60754,-1385.9501,7048.417,648.8466
Satellite 123,-157.40616,5155.478,4612.02,-468.83636,4222.3716,4141.489,1090.4476
Satellite 124,2647.782,-2478.4092,-6635.9766,2381.0173,-1779.6482,-6758.343,757.8943
Satellite 125,-5329.8403,3018.7883,-3229.3652,-5155.8574,3153.8179,-3087.634,261.89838
Satellite 126,35799.055,-22248.041,-138.13884,36102.426,-21438.346,276.5229,958.9499
Satellite 127,-4247.986,-1888.4279,-5973.195,-4103.9146,-1261.4592,-5637.8154,725.483
Satellite 128,-4012.9731,-3717.2327,-4235.7734,-3737.6086,-2408.3054,-4377.1265,1345.0267
Satellite 129,2719.872,5608.929,-3044.5718,2606.2961,4515.721,-3094.7087,1100.235
Satellite 130,4475.2725,4948.39,-1628.2944,3913.2625,3919.9885,-1509.1394,1177.9911
