Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 1,6765.746,-1714.3495,-899.72327,6749.675,-1731.256,-846.92755,57.719177
Satellite 2,-6531.961,-3837.6445,-2104.66,-6531.126,-3839.5378,-2159.7908,55.169678
Satellite 3,-5697.057,-3708.2957,1278.3594,-5691.0396,-3726.0674,1270.8086,20.22523
Satellite 4,-2116.5095,-352.99432,-6510.946,-2065.5645,-241.48068,-6498.1694,123.26365
Satellite 5,-6628.8013,-762.1647,-1909.3196,-6616.644,-716.0992,-1939.0482,56.157097
Satellite 6,5284.449,3324.5083,-3025.0034,5299.902,3293.9717,-3039.7922,37.282413
Satellite 7,6322.69,2135.4565,-1896.9751,6325.9766,2199.967,-1939.0482,77.08796
Satellite 8,2302.4265,4417.139,4790.2505,2331.1243,4435.21,4837.494,58.155632
Satellite 9,2946.8127,4446.985,4609.3594,2889.7634,4468.515,4602.6797,61.34163
Satellite 10,3713.2837,303.76923,-6104.4126,3762.1995,304.53104,-6120.7026,51.56257
Satellite 11,3989.2017,3737.0935,4071.1921,4011.7263,3766.199,4004.6208,76.06724
Satellite 12,4519.6333,-309.44122,-5148.7803,4481.322,-314.6756,-5217.6,78.938835
Satellite 13,2695.914,3222.7249,-5501.3413,2839.6262,3286.271,-5490.098,157.53636
Satellite 14,-6806.2983,-837.011,-929.5338,-6759.295,-899.8841,-982.1253,94.48923
Satellite 15,3501.3208,3582.3208,4622.13,3562.117,3647.2356,4615.811,89.16293
Satellite 16,-1118.356,3894.847,5501.755,-1173.8066,3821.9812,5504.657,91.61122
Satellite 17,-851.35583,6572.2134,1741.1997,-665.8155,6559.8384,1823.0076,203.15237
Satellite 18,-1311.3324,4407.881,-6060.1675,-1346.6968,4345.284,-6103.0693,83.72307
Satellite 19,2581.9304,-5039.092,-3513.9333,2491.392,-4995.761,-3552.0981,107.3838
Satellite 20,1438.7517,4814.2427,-5961.391,1223.623,4823.3037,-5939.2764,216.45209
Satellite 21,1891.7849,-6158.3623,-2278.975,1836.6129,-6105.246,-2287.0413,77.00873
Satellite 22,-6620.0977,-1005.3431,1515.2533,-6584.8706,-1023.03143,1486.3046,48.906563
Satellite 23,-2629.7136,-3550.9836,5192.078,-2781.8533,-3496.4033,5183.4375,161.8646
Satellite 24,-4363.248,4850.786,-2364.0723,-4432.2466,4802.824,-2370.6082,84.2844
Satellite 25,-2338.4827,5042.5327,3997.6306,-2464.3123,5113.997,4025.269,147.3232
Satellite 26,-2123.106,3572.8208,-5451.054,-2057.4922,3557.8806,-5467.2803,69.22183
Satellite 27,-4397.0947,-646.8508,5292.2,-4410.925,-575.9932,5373.181,108.48957
Satellite 28,-681.7542,1108.7299,7481.154,-606.5375,1170.072,7472.1055,97.47969
Satellite 29,2942.1213,-3003.7998,-5500.2314,2899.4395,-2998.0747,-5467.2803,54.224533
Satellite 30,5674.501,92.58024,-4346.0757,5624.831,186.91214,-4373.5127,110.0836
Satellite 31,1042.6892,6449.409,2186.3894,1041.2852,6438.0684,2208.0083,24.453268
Satellite 32,4522.0044,1070.753,-5178.249,4481.322,1043.8685,-5199.967,53.380844
Satellite 33,-1110.6781,-2814.9312,6247.4517,-1153.206,-2752.4648,6197.073,90.82209
Satellite 34,-4357.571,-3535.963,4036.0637,-4387.5586,-3529.813,4025.269,32.45942
Satellite 35,24056.117,-34419.535,-3575.4639,23933.594,-33885.234,-3648.786,553.051
